Posteriors , written for numerical stability as log Bayes factors (one model versus the rest), for the test genes in Drosophila.
Each row corresponds to a gene and gives the values for the 32 models. 
Each  binary string ***** specifies the presence/absence  of the 5 TFs used by the model 
where the TFs are assumed to be  in the order: TIN-BIN-TWI-BAP-MEF2.
geneID	00000	10000	01000	00100	00010	00001	11000	10100	10010	10001	01100	01010	01001	00110	00101	00011	11100	11010	11001	10110	10101	10011	01110	01101	01011	00111	11110	11101	11011	10111	01111	11111
FBgn0000083	-17.765232	-18.447398	-17.923350	-18.738129	-18.085144	1.008276	-18.342916	-18.301288	-18.105639	-3.744893	-18.449153	-17.974141	-2.710439	-18.201486	-5.293234	-1.751928	-18.098814	-18.168650	-5.769294	-17.787125	-8.885334	-4.507918	-17.905896	-7.667352	-4.730035	-5.427767	-17.612335	-11.331195	-7.963667	-6.959726	-11.891129	-12.774633	
FBgn0000095	-9.181671	-4.518404	-5.157424	-7.686049	-5.034786	-2.141179	-3.937954	-4.466471	-4.379283	-2.361520	-4.533422	-4.108050	-2.305654	-5.699717	-2.787457	-1.997141	-3.942696	-4.337375	-2.709710	-4.822511	-3.584350	-2.642864	-4.723826	-3.794407	-2.828966	-2.590263	-4.462351	-3.662645	-3.707029	-4.642966	-4.362570	-4.659720	
FBgn0000100	-3.509058	-4.297565	-4.305111	-1.921340	-4.627320	-5.098184	-4.442961	-2.812106	-4.104005	-5.252523	-2.874438	-4.749777	-5.204459	-2.583052	-2.449586	-4.895805	-3.418220	-4.702363	-4.721104	-3.606334	-2.717081	-4.547365	-2.867149	-3.211401	-4.846412	-2.694462	-3.811108	-2.699816	-4.247971	-3.786779	-3.710530	-3.491761	
FBgn0000109	-7.031597	-6.869960	-8.097944	-0.165055	-8.002073	-8.382974	-7.821356	-2.635333	-7.583440	-8.174101	-2.567681	-8.183483	-8.763410	-2.676260	-2.059317	-7.983337	-3.747469	-7.748269	-8.528146	-3.825332	-3.880974	-7.621231	-3.122283	-3.818039	-8.021954	-3.203120	-4.291870	-4.000099	-7.514575	-4.660038	-4.734596	-6.280011	
FBgn0000115	-4.327467	-2.659716	-1.742490	-2.735442	-2.710658	-2.798201	-3.068145	-2.632367	-4.666078	-3.758734	-3.668169	-4.180267	-2.376332	-4.582497	-2.858619	-4.660089	-4.463283	-4.233102	-4.184092	-4.432477	-4.392754	-4.188367	-4.030795	-4.026033	-4.339286	-4.195410	-4.068294	-4.169022	-4.105985	-3.800011	-4.014945	-3.922191	
FBgn0000116	-33.673095	-34.090697	-32.717173	-34.625255	-33.693409	-0.047710	-33.154338	-34.123173	-33.717580	-2.942896	-33.841038	-32.803080	-1.377931	-33.892233	-4.807328	-1.824472	-33.821976	-33.135051	-3.346569	-33.599806	-6.601034	-3.803772	-33.521246	-6.357139	-3.145384	-5.306069	-33.295637	-7.974210	-5.008791	-7.864676	-7.002383	-8.947479	
FBgn0000117	-29.097093	-8.087683	-24.421541	0.781738	-22.055577	-28.260664	-10.486520	-2.857408	-11.253136	-10.773938	-2.068523	-23.467749	-27.249975	-3.634883	-2.981328	-23.350230	-4.396882	-13.619430	-13.032966	-4.515092	-4.432966	-13.505129	-5.537107	-3.776102	-26.912398	-4.738350	-8.248276	-6.601591	-16.846319	-8.985184	-6.441123	-10.435297	
FBgn0000119	-8.549572	-4.324447	-7.228224	-1.502894	-5.252674	-7.985349	-5.334368	-1.935878	-4.899491	-5.833418	-1.804150	-6.138694	-8.486410	-2.419251	-2.772162	-6.643611	-2.943112	-5.181817	-7.547392	-3.180465	-3.005907	-6.905115	-3.222932	-2.856176	-7.539889	-3.615122	-3.961710	-3.379289	-7.273836	-3.704310	-3.697285	-4.886323	
FBgn0000137	-37.123059	-4.665983	-17.402766	-29.928427	-6.019216	-36.475236	-3.114687	-6.894233	-3.691675	-4.807596	-9.510899	-1.657063	-19.581513	-7.129990	-12.197927	-6.612185	-4.311939	-1.041891	-3.587954	-6.056012	-6.214666	-3.587832	-3.073809	-7.401659	-2.585720	-5.469687	-2.875630	-4.325575	-1.797284	-5.257830	-3.078807	-3.154557	
FBgn0000139	-32.843864	-33.027044	-33.929868	1.968984	-33.602141	-33.998273	-33.766627	-3.455836	-33.281763	-33.662711	-2.868041	-33.712820	-34.588549	-4.141271	-4.088492	-33.669018	-6.475720	-33.402881	-33.702001	-8.007061	-7.220812	-33.090015	-6.830519	-6.388339	-33.666725	-7.634609	-9.983537	-9.728313	-33.195391	-11.035153	-10.125099	-14.306898	
FBgn0000140	-23.570180	-21.272562	-25.134169	1.307649	-24.289819	-24.717232	-22.845364	-3.837186	-22.235962	-22.849288	-2.346545	-23.814925	-25.517848	-4.726354	-2.480980	-24.111108	-4.914300	-23.268000	-24.199086	-7.333084	-6.401758	-23.306586	-5.900995	-5.747459	-24.040171	-6.114644	-8.470597	-7.883107	-23.331513	-10.952539	-9.001907	-10.914984	
